,items,win,count,pickRate,winRate
0,3091,13652,23480,0.522,58.143
1,3009,14137,27385,0.609,51.623
2,3155,886,1828,0.041,48.468
3,6675,1820,3235,0.072,56.26
4,3051,2670,5896,0.131,45.285
5,6693,5800,11166,0.248,51.943
6,0,225451,516852,11.487,43.62
7,6664,2022,3891,0.086,51.966
8,1055,44597,91965,2.044,48.493
9,1042,7253,17337,0.385,41.835
10,2403,50,170,0.004,29.412
11,7010,23,42,0.001,54.762
12,3158,71353,138534,3.079,51.506
13,6676,26738,47281,1.051,56.551
14,3024,2707,5035,0.112,53.764
15,4636,5142,10099,0.224,50.916
16,3854,156,440,0.01,35.455
17,2033,15452,32244,0.717,47.922
18,3031,26374,44412,0.987,59.385
19,3102,4793,8258,0.184,58.041
20,1052,19757,44996,1.0,43.908
21,3076,14981,32024,0.712,46.781
22,6662,9003,17557,0.39,51.279
23,1038,15131,25270,0.562,59.877
24,3742,6417,11175,0.248,57.423
25,3802,1647,5878,0.131,28.02
26,6694,11722,20225,0.449,57.958
27,3105,1998,4134,0.092,48.331
28,3133,13469,29074,0.646,46.327
29,3863,89,330,0.007,26.97
30,3067,18118,40223,0.894,45.044
31,3853,39312,74767,1.662,52.579
32,4633,8616,16729,0.372,51.503
33,3050,3151,5218,0.116,60.387
34,3110,6318,10857,0.241,58.193
35,3114,6770,12328,0.274,54.916
36,7009,30,43,0.001,69.767
37,7002,65,106,0.002,61.321
38,3036,17318,31895,0.709,54.297
39,3156,1737,2943,0.065,59.021
40,3858,316,909,0.02,34.763
41,7013,188,294,0.007,63.946
42,7014,78,110,0.002,70.909
43,4632,1270,2470,0.055,51.417
44,3094,10073,17817,0.396,56.536
45,7000,29,49,0.001,59.184
46,8001,4959,8931,0.198,55.526
47,3857,8186,16123,0.358,50.772
48,2420,10118,17980,0.4,56.274
49,3042,11838,22142,0.492,53.464
50,3193,2202,3712,0.082,59.321
51,4637,8571,14858,0.33,57.686
52,7001,96,153,0.003,62.745
53,2140,77,171,0.004,45.029
54,2419,114,260,0.006,43.846
55,6617,11290,21751,0.483,51.906
56,3004,1262,2345,0.052,53.817
57,6691,11557,22470,0.499,51.433
58,6609,4199,7612,0.169,55.163
59,3108,9306,20039,0.445,46.439
60,3139,861,1456,0.032,59.135
61,3046,10479,18201,0.404,57.574
62,4005,5107,9659,0.215,52.873
63,4630,5114,10356,0.23,49.382
64,3011,10220,18025,0.401,56.699
65,4635,517,1505,0.033,34.352
66,4643,2566,3707,0.082,69.22
67,1083,1370,3340,0.074,41.018
68,3121,551,1008,0.022,54.663
69,3143,4596,8173,0.182,56.234
70,7008,249,348,0.008,71.552
71,1054,14781,31365,0.697,47.126
72,3113,1585,3336,0.074,47.512
73,6692,15494,30526,0.678,50.757
74,4401,2131,3813,0.085,55.888
75,1037,17428,36598,0.813,47.62
76,3095,2680,4803,0.107,55.798
77,2010,1059,2831,0.063,37.407
78,7011,112,165,0.004,67.879
79,3165,13378,25109,0.558,53.28
80,3070,9945,24183,0.537,41.124
81,3152,18360,35704,0.793,51.423
82,2424,1542,3941,0.088,39.127
83,3115,10772,20484,0.455,52.587
84,3145,3389,7784,0.173,43.538
85,3860,15385,29648,0.659,51.892
86,7005,392,675,0.015,58.074
87,3135,13569,24771,0.551,54.778
88,3089,14994,24913,0.554,60.185
89,3211,3048,5848,0.13,52.12
90,3006,69284,136141,3.026,50.891
91,3072,6608,11217,0.249,58.911
92,3153,14878,27863,0.619,53.397
93,6670,1562,6010,0.134,25.99
94,1011,12632,25333,0.563,49.864
95,6029,727,2278,0.051,31.914
96,3119,127,214,0.005,59.346
97,4645,1472,2752,0.061,53.488
98,3057,3311,8295,0.184,39.916
99,4629,9951,17090,0.38,58.227
100,3041,15373,19074,0.424,80.597
101,7023,7,13,0.0,53.846
102,6632,29273,57428,1.276,50.973
103,6673,35567,68621,1.525,51.831
104,6671,19533,38558,0.857,50.659
105,3083,1749,3012,0.067,58.068
106,3855,2042,4423,0.098,46.168
