,championDuos,totalWins,count,synergy%
0,"['Aatrox', 'Leblanc']",10,25,40.0
1,"['Ahri', 'Xerath']",1,2,50.0
2,"['Akali', 'Irelia']",7,16,43.75
3,"['Akshan', 'Ashe']",2,8,25.0
4,"['Alistar', 'Kayle']",1,3,33.333
5,"['Amumu', 'Ezreal']",2,6,33.333
6,"['Aphelios', 'Galio']",1,4,25.0
7,"['Brand', 'Chogath']",0,2,0.0
8,"['Camille', 'Vladimir']",14,24,58.333
9,"['Corki', 'Rengar']",2,3,66.667
10,"['Draven', 'Tryndamere']",1,8,12.5
11,"['FiddleSticks', 'Lissandra']",1,1,100.0
12,"['Garen', 'Seraphine']",0,2,0.0
13,"['Garen', 'Yasuo']",12,25,48.0
14,"['Graves', 'Sion']",2,6,33.333
15,"['Gwen', 'Sivir']",0,3,0.0
16,"['Jayce', 'Rumble']",2,5,40.0
17,"['Jayce', 'Tryndamere']",3,4,75.0
18,"['Jhin', 'Kayle']",7,12,58.333
19,"['Kaisa', 'Shen']",2,4,50.0
20,"['Kassadin', 'Nidalee']",1,1,100.0
21,"['Khazix', 'Vladimir']",2,3,66.667
22,"['Kled', 'Qiyana']",2,6,33.333
23,"['Kled', 'Volibear']",2,2,100.0
24,"['KogMaw', 'Sion']",1,1,100.0
25,"['Leona', 'Sion']",1,3,33.333
26,"['Lucian', 'Veigar']",8,14,57.143
27,"['Maokai', 'Sona']",1,1,100.0
28,"['MonkeyKing', 'Talon']",1,3,33.333
29,"['Nautilus', 'Sona']",1,1,100.0
30,"['Nidalee', 'Sion']",1,2,50.0
31,"['Nocturne', 'Vayne']",5,5,100.0
32,"['Orianna', 'Senna']",3,5,60.0
33,"['Ornn', 'Yasuo']",7,11,63.636
34,"['RekSai', 'Yasuo']",0,2,0.0
35,"['Rell', 'Ryze']",0,1,0.0
36,"['Renekton', 'Volibear']",0,1,0.0
37,"['Riven', 'Singed']",3,5,60.0
38,"['Shyvana', 'Swain']",0,2,0.0
39,"['Sona', 'Varus']",0,1,0.0
40,"['Swain', 'Ziggs']",0,1,0.0
41,"['Talon', 'Vayne']",14,22,63.636
42,"['Teemo', 'Volibear']",2,8,25.0
43,"['Tryndamere', 'Varus']",3,3,100.0
44,"['Varus', 'Veigar']",2,4,50.0
45,"['Akali', 'Orianna']",1,1,100.0
46,"['Akali', 'Tryndamere']",5,12,41.667
47,"['Akshan', 'Darius']",6,14,42.857
48,"['Annie', 'Kayle']",3,3,100.0
49,"['Bard', 'Diana']",2,3,66.667
50,"['Caitlyn', 'Darius']",4,8,50.0
51,"['Caitlyn', 'Kled']",1,2,50.0
52,"['DrMundo', 'Rumble']",2,3,66.667
53,"['Draven', 'Karma']",3,6,50.0
54,"['Draven', 'Vladimir']",5,9,55.556
55,"['Ekko', 'Rumble']",1,1,100.0
56,"['Ezreal', 'Morgana']",9,14,64.286
57,"['Ezreal', 'Orianna']",6,11,54.545
58,"['Garen', 'Sett']",2,4,50.0
59,"['Garen', 'Zilean']",2,2,100.0
60,"['Gnar', 'Jinx']",1,2,50.0
61,"['Gnar', 'Neeko']",2,2,100.0
62,"['Gragas', 'JarvanIV']",0,1,0.0
63,"['Gwen', 'Nami']",2,2,100.0
64,"['Ivern', 'JarvanIV']",0,1,0.0
65,"['Janna', 'Yone']",1,3,33.333
66,"['Jinx', 'Sylas']",6,21,28.571
67,"['Karthus', 'Sona']",1,1,100.0
68,"['Katarina', 'Shaco']",1,4,25.0
69,"['Khazix', 'Tryndamere']",3,5,60.0
70,"['Kled', 'KogMaw']",0,1,0.0
71,"['KogMaw', 'Nami']",1,2,50.0
72,"['Lillia', 'Talon']",3,6,50.0
73,"['Lissandra', 'Velkoz']",1,1,100.0
74,"['Lucian', 'Pyke']",1,5,20.0
75,"['Lulu', 'MissFortune']",2,6,33.333
76,"['Morgana', 'Warwick']",2,7,28.571
77,"['Nunu', 'Thresh']",3,4,75.0
78,"['Olaf', 'Soraka']",1,3,33.333
79,"['Orianna', 'Vladimir']",1,1,100.0
80,"['Renekton', 'Yasuo']",7,9,77.778
81,"['Rengar', 'Tristana']",3,5,60.0
82,"['TwistedFate', 'Vayne']",3,11,27.273
83,"['Veigar', 'Velkoz']",0,1,0.0
84,"['Yone', 'Zac']",4,5,80.0
85,"['Alistar', 'Ekko']",1,1,100.0
86,"['Amumu', 'Zoe']",1,3,33.333
87,"['Annie', 'Pantheon']",1,1,100.0
88,"['Azir', 'Ziggs']",0,2,0.0
89,"['Blitzcrank', 'Leona']",0,1,0.0
90,"['Brand', 'Pyke']",0,1,0.0
91,"['Caitlyn', 'Talon']",6,13,46.154
92,"['Camille', 'Veigar']",4,9,44.444
93,"['Darius', 'Varus']",0,1,0.0
94,"['Draven', 'Urgot']",2,3,66.667
95,"['Ekko', 'Trundle']",5,7,71.429
96,"['Ezreal', 'Swain']",0,2,0.0
97,"['Fizz', 'Tryndamere']",5,12,41.667
98,"['Fizz', 'TwistedFate']",1,1,100.0
99,"['Fizz', 'Yone']",1,7,14.286
100,"['Garen', 'Lucian']",4,7,57.143
101,"['Garen', 'Vladimir']",2,6,33.333
102,"['Graves', 'Varus']",0,2,0.0
103,"['Hecarim', 'Sylas']",2,5,40.0
104,"['Heimerdinger', 'MonkeyKing']",1,2,50.0
105,"['Illaoi', 'Lissandra']",1,3,33.333
106,"['Janna', 'Mordekaiser']",1,2,50.0
107,"['Janna', 'Teemo']",1,4,25.0
108,"['Jayce', 'Sivir']",2,3,66.667
109,"['Jayce', 'Sylas']",13,23,56.522
110,"['Jhin', 'Orianna']",1,8,12.5
111,"['Kalista', 'Malzahar']",0,1,0.0
112,"['Kassadin', 'Nocturne']",1,1,100.0
113,"['Katarina', 'Morgana']",1,4,25.0
114,"['Katarina', 'Poppy']",4,6,66.667
115,"['Kennen', 'Viego']",3,5,60.0
116,"['Leona', 'Renekton']",1,1,100.0
117,"['Lillia', 'RekSai']",1,1,100.0
118,"['Lux', 'Xayah']",7,17,41.176
119,"['Mordekaiser', 'Nocturne']",2,3,66.667
120,"['Nami', 'Zac']",0,2,0.0
121,"['Neeko', 'Teemo']",3,3,100.0
122,"['Nocturne', 'Rumble']",2,2,100.0
123,"['Pyke', 'Sion']",1,2,50.0
124,"['Rakan', 'RekSai']",0,1,0.0
125,"['Renekton', 'XinZhao']",2,4,50.0
126,"['Rumble', 'Yasuo']",7,12,58.333
127,"['Shyvana', 'Xerath']",1,1,100.0
128,"['Viego', 'Xerath']",3,6,50.0
129,"['Aatrox', 'Jinx']",4,6,66.667
130,"['Aatrox', 'Nidalee']",0,1,0.0
131,"['Akshan', 'Neeko']",2,2,100.0
132,"['Akshan', 'Ornn']",2,2,100.0
133,"['Aphelios', 'Garen']",1,5,20.0
134,"['Ashe', 'LeeSin']",5,6,83.333
135,"['Blitzcrank', 'Kassadin']",1,3,33.333
136,"['Blitzcrank', 'Ornn']",1,1,100.0
137,"['Blitzcrank', 'Viego']",2,5,40.0
138,"['Caitlyn', 'RekSai']",2,3,66.667
139,"['Caitlyn', 'Ryze']",5,17,29.412
140,"['Camille', 'Samira']",4,8,50.0
141,"['Chogath', 'Leona']",2,4,50.0
142,"['Darius', 'Talon']",2,7,28.571
143,"['Diana', 'Draven']",3,6,50.0
144,"['Diana', 'Quinn']",1,1,100.0
145,"['Ekko', 'Jax']",9,15,60.0
146,"['FiddleSticks', 'Gragas']",1,1,100.0
147,"['Fizz', 'Leona']",2,3,66.667
148,"['Fizz', 'Quinn']",1,2,50.0
149,"['Garen', 'Varus']",2,3,66.667
150,"['Gwen', 'Urgot']",1,2,50.0
151,"['Illaoi', 'Zilean']",1,1,100.0
152,"['Ivern', 'Thresh']",1,1,100.0
153,"['Jhin', 'Pantheon']",10,17,58.824
154,"['Kaisa', 'Zilean']",1,2,50.0
155,"['Katarina', 'Mordekaiser']",6,13,46.154
156,"['Kindred', 'Yuumi']",3,4,75.0
157,"['LeeSin', 'Varus']",2,4,50.0
158,"['Lucian', 'Orianna']",4,7,57.143
159,"['Malphite', 'Nautilus']",1,2,50.0
160,"['Malzahar', 'Velkoz']",1,1,100.0
161,"['Nasus', 'Vi']",2,3,66.667
162,"['Nautilus', 'Volibear']",3,5,60.0
