,championName,win,pickCount,bansCount,pickRate,winRate,banRate
0,Zilean,1677,3302,399,0.4403018908179321,50.78740157480315,12.08358570563295
1,Twitch,2547,5164,376,0.6885884204069659,49.322230828814874,7.281177381874516
2,Jinx,4196,8350,206,1.1134224071259033,50.25149700598802,2.467065868263473
3,Warwick,2259,4444,702,0.5925807397925167,50.83258325832583,15.796579657965797
4,Malphite,2309,4684,823,0.6245832999973331,49.29547395388557,17.570452604611443
5,Viktor,1893,3641,206,0.4855055071072352,51.991211205712716,5.6577863224388905
6,Sejuani,655,1370,24,0.1826812811691602,47.81021897810219,1.7518248175182483
7,Ashe,3716,7259,552,0.9679441021948423,51.19162419065987,7.604353216696515
8,Ivern,871,1675,106,0.2233512014294477,52.0,6.3283582089552235
9,Leblanc,2710,5498,2199,0.733125316692002,49.29065114587122,39.99636231356857
10,Udyr,619,1308,119,0.1744139531162493,47.32415902140673,9.097859327217126
11,Anivia,1394,2688,475,0.35842867429394354,51.86011904761905,17.671130952380953
12,Jayce,2023,4179,178,0.5572445795663653,48.40871021775544,4.2593921990906916
13,Jhin,7118,13955,585,1.8608155319092194,51.00680759584378,4.192045861698316
14,Swain,1619,3124,442,0.4165666586660266,51.824583866837386,14.148527528809218
15,RekSai,1366,2531,282,0.33749366615995946,53.97076254444883,11.141841169498223
16,Lillia,2008,4099,255,0.5465770594980932,48.98755794096121,6.221029519394975
17,Varus,1189,2524,94,0.33656025815398566,47.10776545166402,3.7242472266244055
18,Maokai,1187,2278,47,0.30375763394404887,52.10711150131694,2.0632133450395083
19,AurelionSol,342,669,32,0.08920713657092567,51.12107623318386,4.783258594917788
20,Thresh,4292,8494,1355,1.1326239432487932,50.52978573110431,15.95243701436308
21,Amumu,2746,5376,1550,0.7168573485878871,51.07886904761905,28.831845238095237
22,Karma,2664,5525,155,0.7367256047150439,48.217194570135746,2.8054298642533935
23,Illaoi,875,1722,563,0.22961836946955758,50.8130081300813,32.6945412311266
24,Pyke,3199,6448,1544,0.8598021175027335,49.61228287841191,23.945409429280396
25,Akali,2391,5008,826,0.6677867562738352,47.74361022364217,16.49361022364217
26,Chogath,1307,2739,135,0.365229218337467,47.718145308506756,4.928806133625411
